394	738	552.5	4536.8	712.25	2177.8	580	1488	2787.3	1070	1148.5	870	676	2983	669.5	570	450.5	300.25	1881	257.5	417.25	366.75	326.5	289.25	479	384.5	498.25	461.75	404.25	270.5	277.75	1.16	244.5	117	15.5	318.25	47.5	119.5	619.25	191.25	995.25	236.4	11.7	1439.8	344.25	26.5	92.9	3.3	22.25	17.75	0.9	397.75	3.3	13.75	11.75	2.1	11.8	1.6	4	3.7	106.5	4.9	436.5	5	22.4	240	16	76	95.5	2.4	65	87.7	59.6	68.8	38.75	117.7	636.5	331	65.25	150	2378.3	35.1	16.2	29.25	88	504	115	253.75	47	3.3	415.25	3	59.4	15.9	18.9	26.9	25	19.8	191.25	135.2	400.5	45.25	6.75	4.9	210	74	267.75	556.5	268	235.25	1295.8	2852	92.5	65	83	766.25	761.75	415.25	69.5	373.25	60.5	67.25	472.75	65	1068	45	1.8	12	17.4	158.2
395.25	740.7	553.75	4549	714.25	2198	566.75	1493	2792.3	1078.5	1144.8	864.5	693.25	2976.5	668.75	573	451	298.75	1881	256.5	417.25	365.5	325.5	290.5	482.5	382	497	475	401	269.75	276.25	1.16	243.5	117.75	15.4	319	47	118.25	612.75	189.5	990	235.8	11.7	1435.8	346.25	26.25	92.9	3.6	21.75	17.25	0.9	397	3.7	13.5	12	2	11.8	1.6	4	3.6	106.5	4.9	433	5	22.4	240	15.5	77	96	2.3	63.75	87.8	59.5	68.5	37.75	117	635.25	331	65.25	149	2378.5	35.2	16.1	29.25	86.5	500.5	115	253.75	46.75	3.3	415	3	59	15.9	18.9	26.7	24.9	20.6	190	135.1	404.75	46	6.5	4.9	208.75	74.25	263.75	556.5	270	234.25	1295	2861	91.25	65.75	82.5	757.25	753.5	415.75	69.5	374.5	61.5	70	472.75	65	1062	44.8	1.7	12.1	17.1	156
383.5	725.75	545.75	4521	706	2172.3	554	1471.8	2784	1074.3	1137.5	856.25	702.5	2947.5	663.25	568.25	452	296.25	1841.5	253	413.5	362.5	320	289.5	476.25	380.25	494.5	471.5	395.5	264	266.25	1.15	241.5	117	15.2	318.25	48.5	117.5	610.25	189.25	986.5	235.8	11.5	1417.5	343.25	25.75	90.5	3.7	21.75	16.5	0.9	396.75	3.8	13.5	11.75	2	11.7	1.6	4	3.6	105.2	4.9	431.25	5	22.3	240	15.25	75.25	95.25	2.3	63.5	85.9	59.3	68.1	37.75	117	626.75	340	65.5	147	2370.5	35	15.8	28.75	86	490	114.25	251.75	45.5	3.3	413.5	3	61.8	16	18.9	26.8	25.2	21	189.75	132.9	403	45	6.5	4.8	208	73.5	263.75	556.5	268.75	227	1270.3	2850	90	65.5	82	754.5	751	413	69	361.25	65	78	472.75	65	1048.5	44.9	1.7	12.2	17	149.1
385	715.75	534	4505.8	695.5	2122.3	549	1446	2746.3	1050.3	1115.5	841.75	707.5	2913	656.75	565.25	446.25	292.5	1815.5	259	409.75	362.5	314.25	288.25	472.25	376.25	492.75	462	390.75	259.75	260	1.15	240.5	116.25	14.9	317	49	118.5	609.5	189	986.5	230	11.5	1395.8	341	25	90	3.7	21.25	16.5	0.8	394	3.6	13.5	12	2	11.5	1.5	4	3.7	104.4	4.8	425.75	5	22.5	234.75	16.25	75	95	2.1	63.5	87.3	61	68.1	38	117	628	349.25	65.25	144.75	2351.3	34.9	16	29	85.75	489.75	118.25	251.25	45.5	3.3	410.25	3.2	63.7	15.8	18.9	26.6	25.4	21.2	193.5	132.9	400	46	6.75	4.8	209	73.5	262.5	553.5	265.5	227	1271.3	2850	89.75	65	81.75	752.5	750.75	402	69	350.5	62.25	76	472.75	65.5	1027	46.1	1.7	12.2	16.9	146.4
380.25	720.25	530.25	4500.8	699.25	2097	545.75	1452.8	2695.8	1062.3	1112	841	703.5	2898.8	655.25	566.5	445.5	294.75	1815.5	254	409.75	362	316	289.5	472.25	378	492.5	464.5	389.5	257	257	1.15	236.25	115.5	15	314.5	48.5	118.5	611.5	186.75	986.5	224.8	11.6	1358.5	344.75	26.25	89.7	3.8	22	16.5	0.9	396.25	3.6	13.25	11.25	2	11.6	1.5	4	3.6	103	4.8	423.5	5	22.5	235.5	15.5	75	106	2.1	63.5	87	61.1	67.9	37.75	115.7	630.75	346	65.25	144	2334	36	16.2	29	85.75	489.25	117.5	251	45.5	3.3	411	3.3	64.5	16.1	19.6	27.2	26.5	21.1	205	133	402.5	46.75	6	4.8	207.5	73.5	261	548.75	261.5	227	1254	2850	89	64.25	81	754	752	400	68.5	351.5	61.25	72	472.75	65.7	1031	46.2	1.7	12.1	17	145
384	719.5	534.25	4500.3	712.25	2082	547.5	1462.5	2711.5	1062.8	1115.8	845.5	698.25	2894.8	659.5	567.75	445.5	294.25	1828.3	255.75	405.5	362.5	314.75	289.75	472.25	377.75	490.5	468.5	401	260.75	255.25	1.15	231.75	115.5	15	314.25	49.5	117.75	614	186.75	975.25	221.5	11.6	1311.8	347.75	26.25	90	3.8	23.25	16.75	0.8	398.75	3.7	13.5	11.25	2	11.6	1.6	4	3.6	104.3	4.8	425	5	22.3	244.25	16.5	78.5	132	2.2	67	86.6	61.1	68	38.25	116	625	345	66	145	2334.8	35.6	16.1	29	86	492.75	117.5	250	46.25	3.3	411.5	3.1	62.8	15.9	19.2	27	26.1	20.2	220	130.7	411.75	50.5	6	5	208	76	261	548	264.75	230.5	1261.5	2850	89.75	64.5	80.75	753.5	750.5	410	68.25	363.25	61.5	73.5	472.75	65.5	1030.3	45.9	1.6	12.2	16.9	141.9
379.75	716.5	531.5	4505	703.5	2046	544	1455.3	2745	1050.3	1170	843.25	699.75	2899.3	667	567	446	295.75	1831.3	253.25	406.5	360	314.5	290	472.25	377	489.75	479	400.25	261	251.75	1.15	225	114	14.9	314.25	53.5	116.5	614.75	186.75	975.25	216.2	11.5	1198.5	339.5	26.75	90.3	3.8	24.5	17.25	0.9	396.75	3.6	14.25	12.25	2	11.6	1.5	3.9	3.6	104.2	4.8	423.5	5	22.3	244	19.25	82.5	113	2.3	68.25	86.2	61.1	68.1	38.5	116	619.5	374.75	71	146.25	2321.5	36.1	16.4	29.5	85.75	495.5	117	250	46.25	3.3	411.25	3.2	63.8	16.1	19.3	27.2	26.7	21.3	217	129.3	407.25	48.75	6.5	5	202	77.5	262	550.25	263.75	227.75	1261.5	2837.5	90.5	64.75	83	755	750.5	406	68	360	61.75	75	472.75	65.5	1029.5	45.9	1.7	12.2	16.7	140.1
376.75	714.25	529.75	4500.3	704.75	2101	547.75	1453	2769	1050.3	1108	840	630	2893	669.5	565.5	446.5	294	1860.3	250.75	410	356.25	315	290	477.25	376.5	487.5	493	400.25	256.75	250.5	1.15	220.25	114	14.8	313.25	50.75	119.75	609.25	183	974	214.7	11.5	1194.8	334	26.25	89.6	3.7	25	17.25	0.8	394.5	3.4	14.25	12.25	2	11.6	1.5	4	3.4	104.1	4.8	420	4.9	22	239.5	18.5	79.75	115	2.2	65.75	83.8	59.9	67.9	37	116.4	616.75	367	69	144.5	2311.8	35.9	16	28.75	84.75	484.5	119.5	250.25	46.75	3.3	408.5	3.1	61.9	15.9	18.9	27	26	20.7	209.25	128.8	401.5	47.75	6	4.9	192	77.25	261.75	548	266	228.75	1255.3	2837.5	90.5	64.25	80.5	761	750	399.25	67	361.25	61.25	73.25	472.75	65.2	1022.5	45.1	1.7	12.1	16.1	141.6
370.25	702	516.75	4472.5	705.25	2091	546.25	1452.3	2729.8	1037.3	1086.8	834.5	690	2899	662.5	560.75	441.25	290.75	1830	247.5	407.75	352.5	312.75	290	473	371.5	486.5	486.75	391.25	253.25	242.75	1.12	215	111.75	14.4	310.5	50.25	118.5	607.5	185	970	214.1	11.3	1161.8	335.75	25.25	89	3.5	23.25	17.25	0.8	391.25	3.5	15	11.5	2	11.5	1.5	4.1	3.5	102.7	4.9	413.5	5	21.8	240	17	78.25	107.75	2.2	64.5	82.9	58.8	67.6	37	116.4	617	431	69	144	2294.8	35.2	15.9	28.5	85.5	479.25	118.25	248.75	46	3.3	406	3.1	60.9	15.7	18.6	26.8	25.6	20.9	206.5	129.3	396.75	48.25	6.25	4.8	191.75	78.75	260.25	543.75	264.5	227.25	1248.5	2820.8	86.5	63	80.5	757.75	740	395.75	65.75	360.75	61	72.25	472.75	64.8	1031.5	44	1.7	12.1	16	139.7
363	710.25	522.75	4484.8	723.75	2086.5	545.25	1448.8	2739	1043.5	1099.5	838	688.25	2901	663.75	562	443.5	290.75	1831	245.75	410	353.25	312.5	289.5	474	372.75	486.5	487.75	399.75	255.75	245	1.11	215.5	112.25	14.5	311.75	51	117.25	611.5	189	964.25	211.9	11.3	1126.8	337.25	26	88.5	3.6	24	16.75	0.8	390.75	3.5	15.25	11.75	2	11.3	1.4	4.1	3.5	103.6	4.9	413.5	4.9	21.9	240	18.25	77.25	105.25	2.2	64	84.9	59.3	68.4	37.25	115.4	619	453.25	69.25	143.75	2295.8	35.9	17.9	28.75	85.75	483.25	121	248.75	45.5	3.3	406.75	3.1	62.8	15.8	18.8	27	25.9	20.8	207.75	130	400	48.25	6.25	4.8	197.75	78.25	260	542.5	263.75	231.5	1234.5	2820.8	88.5	64.5	82.5	750.5	746.5	401.25	67.75	372	62	71.25	472.75	64.2	1031.5	44.7	1.7	12.1	16.3	140.1
