895.5	620	937.75	3900.5	777	840	1621.5	1463.5	2323.8	821.25	791	580.25	529	2772	594.75	365	456.25	296.5	1724.5	1830	266.75	375	308	297.25	292.75	439.5	374	351.75	286.75	299.25	188	202	296.5	20.3	191.25	391.75	531.5	165	203.5	206.25	129.25	1.91	240	137	21.6	268.5	53.75	138.25	501.25	252.25	788.25	193.3	55	10.5	1116.8	19.1	177	376.25	27.75	210	84.5	587.75	12	26.75	21.25	369.75	39	12.5	2.5	12.2	3.4	2.6	118.3	112	556.75	438.75	283.5	8.9	24.2	189.25	19	78.75	138.25	57.75	2.5	62	59.75	94	47.2	58.5	74.5	3297.8	185.2	502.75	455.75	78	139.75	2417.8	30	19.1	34.25	92.75	678.75	143.75	282.75	80	80.5	3.7	3.3	425	56.7	13.8	14	17.2	22	15.2	227.25	125	475	51.25	10.25	22.5	3.8	184	71	189.5	414.5	295.25	185	218	206.5	125.5	131.5	1205.3	241.5	3229.5	380	91	81.75	83.25	699.5	413.75	74.5	313.75	70.75	74	434.5	453.5	56.8	53	851.75	38.1	2.4	12	16.7	156.2
890.25	625.5	963.5	3981.5	775.5	845.75	1572.3	1454.3	2347.5	829	799.5	582.5	529.75	2785.8	596.75	377.25	459	302.25	1741	1802.5	262.75	398.5	315.5	300.5	295	449.25	387.5	364.5	287	302.25	190.75	204.5	305.25	21.2	194.5	392.5	531.5	165	203	194	129.25	1.91	247.75	140.75	21.6	279.5	54.75	147.5	528.75	290.5	800	216.8	57.5	11	1201.8	19.4	182.25	397.5	28.25	219.75	83.6	620	12.3	26.75	21.75	380	41.5	12.75	2.6	12.6	3.7	2.6	119.6	131.9	559.25	439.5	284.5	8.8	24.7	192.5	19.25	79.5	140	60	2.6	64.75	60.5	91	48.1	59.2	75.9	3298	182	514.75	463.25	78	140.5	2493	31.4	19.7	34.25	95	684.75	143.25	284.5	79.75	78	3.7	3.3	423.75	57.4	14.9	15.2	18.8	23.4	16.1	232.5	127.5	480.75	52	10.5	23.25	4.1	190	73.75	193.25	420	305	182.5	221.75	208	125.5	132.75	1230.5	245.75	3345.8	380	91.75	83.75	85.5	694.5	418.5	76.5	310.5	71.5	75	440.5	453.5	58	53.6	970.75	38.7	2.4	12.4	16.7	158.2
879.25	627.25	952.5	3999.5	779	872.25	1575.3	1472.5	2339.5	860.25	810.5	591.75	547	2785.8	595.25	388.75	462.25	317.25	1746.8	1802.5	267.25	408.5	325	312.75	311.25	459.75	395.25	388	301.25	316.25	202	212	324	23.9	207	418	531.5	166.5	202	200	131.25	1.97	253	148.75	22.2	295	55.25	154.75	549.75	307.25	824.25	233	62	12	1320	21	185	429.25	29	227.75	84.9	634.75	13.8	27	22	396.25	40	13	2.7	13.4	3.9	2.7	122.9	131.9	577	460.25	299	9	25.8	209.5	19.25	81.75	140	61.5	2.6	67.5	65	92	50.6	59.8	77	3325	190.3	548.75	468.25	93	143.25	2580.3	32.2	20	34.25	104.75	710	155	298	80	77.75	3.9	3.4	432.5	57.6	15.3	15.9	19.1	24.7	17	248.75	129.5	486.5	51	11	22.75	4.2	204.5	76.5	195.5	421.75	308.25	192.25	228	215.75	127.25	132.75	1260.5	255	3386.5	383.25	92.75	83.25	88.25	712.5	421.75	81	322.25	73	79.75	443.25	453.5	59.4	57.6	1095.5	39.2	2.4	13.2	17.5	161
876.5	627	943.5	3999	777.75	872.25	1588.3	1556	2316	866.5	840.5	590.5	546.75	2953.5	586.5	384.5	463.25	321.75	1741.5	1802.5	280	400.5	322	319.5	317.5	456.5	391.25	384	301.5	312.5	197.25	210	326.75	23.3	204.5	413.75	531.5	169.25	207.25	200	143.5	2.17	270	163.25	24.2	294	55	155.5	547.25	291.75	822.5	226.9	60.25	12	1275	21.5	186.75	445.75	29.25	225.5	84.1	628.5	14.7	27	23	402.25	40.25	13.5	2.6	14.2	4.2	2.9	124.7	132.5	573.25	463.25	308.5	8.9	25.5	223	20	86	140	66	2.6	70.25	70.25	92.3	51.3	59.7	76	3358.5	173	534.5	470.75	101.25	144	2538.8	33.4	20.1	34.5	109.5	701.25	165	300.75	80.75	80.25	4	3.4	433.5	57.3	14.9	16.5	18.7	24.1	16.6	249.75	138.5	494.75	51.5	11	23	4.3	219.25	82	195.25	419.75	305	193.25	233.5	216.5	130.25	130.75	1210	259.25	3353.3	385	92.25	82.75	90.75	714.25	415.5	83.25	317.75	73	81	434.75	453.5	59.9	57	1146.5	38.7	2.5	13.9	18.9	159.7
874	617	941.75	3955	770.75	863	1825.5	1623.3	2303.8	862.5	837.25	586.75	541.25	3004	577	377.5	457.75	316.75	1734.3	1802.5	293	405.75	320.25	313.5	310.75	451.5	386.25	378.75	295	312.75	193.25	209.5	326.75	24.4	202	407.5	531.5	173.25	213.5	205.5	171.5	2.55	280	182.25	26.6	291	53.75	153.25	543.25	290.25	817	228.3	59.25	11.8	1282	21	187	456	29	220	85.2	599.25	14.5	26.75	23.25	393.25	39.75	13.5	2.7	13.9	4.8	2.9	123.7	132.5	610.25	499	339.75	9.2	24.7	214.25	21	84.5	140.5	66.5	2.6	68.5	69.75	90.4	50.4	58.3	76.2	3397.3	189	530	461.25	96.75	141.25	2496.3	31.5	19.6	33.75	109.5	691.25	169.25	290.75	80	79.25	4	3.3	426	55.7	14.1	15.9	18.2	23.8	16.3	251.25	135.8	525.5	50.75	10.75	24.5	4.4	218.25	84	194.25	415.5	313	192.75	234.75	212.25	132.25	133	1215.5	250.5	3354	385	92.75	84.25	90.75	706.25	407.5	83.25	307.75	70.5	82.5	420.75	453.5	60.5	55.5	1082	37.7	2.5	13.5	18.9	172.1
882.5	619.5	939.5	3950.5	787	863.75	1847.3	1622.8	2311	846.25	840.75	587.25	548.75	2994	581.75	380.75	464	326	1744.5	1842	292.25	424.5	321.75	328.5	321.5	460.75	395.25	382.75	297.25	310.25	194.5	213.5	346	26.4	202.5	410.25	531.5	188.5	249.75	226.5	199.25	2.89	283.25	187.5	29	293.5	54.5	161.75	544.5	315.75	824	239.3	61	12.8	1270.8	22.2	186.75	502.75	30.75	222	87.9	594.25	14.5	26.25	23	414.25	40.75	13.5	2.9	14.9	5.4	3	125.1	144.8	599.5	495.25	342.5	9.2	24.7	221	20.75	84.5	142	66.25	2.7	67.25	70.5	93.2	50.9	58.4	78.8	3444	182.2	548	470	94	138.25	2525.8	32.4	20	34	109.75	729	177.75	305	87.25	88.5	4.6	3.6	456.25	56.8	14.4	16.4	19.1	24.8	16.4	257.5	135.3	547.75	52	10.75	23.75	4.9	217	86.5	202.5	419	324	196.5	237.25	219	137.5	136.5	1226.3	250.25	3379.3	387.75	91.75	83.25	89.75	709	407.25	86.25	315.75	69	85.75	420.25	453.5	60	56.8	1118.5	37.8	2.5	14.4	22.1	173.6
879	613.25	922	3961.8	792	859.75	1793.8	1615	2312.8	849.75	836.25	583	555.75	2978.5	590.25	378	463	325.25	1716.5	1842	287	422	323.75	326.5	323.75	459	391.25	379.25	298	312.5	196.5	219.75	348.75	26.3	204.5	409.75	531.5	196.5	250.5	228.5	189	2.78	269.75	174.75	27.8	291	53.75	158.75	548.5	305.5	821.25	235.9	61.5	12.6	1241.5	22.6	182.25	508.75	30	230	85.1	612.25	13.7	26	22.5	417.5	40.5	13.25	3.1	15.4	5	3	123.6	136.6	583	472	330	9.2	25.4	218.5	19.25	86.5	141.5	67	2.8	68.5	73	102.1	50.6	58.4	78	3515	185	547.5	464	109	134.75	2600.8	32.7	19.7	33.5	109.75	716.75	182.75	299.75	87.25	86	4.4	3.7	450.5	56.9	14.7	16.1	20.1	24.8	16.7	258.25	135.2	548.75	51	10.75	23	4.7	207.5	85.25	210.25	426.25	331.5	208.25	273.25	235	139	136.75	1305.3	263.75	3867	392.25	92.5	85.25	89	714	410.75	85	322.5	69	84.25	433.5	453.5	60.2	56.4	1084.5	38.2	2.5	14.5	21.2	170
871.25	607	899.75	3888	826.25	867.75	1862.5	1608	2327.5	850.5	838.25	578	543	2997	584.25	373.25	455.5	320	1720	1842	281	419	320	325.25	318.25	450.75	386.75	374.5	301.5	306.5	193.5	215	337.5	24.9	198.75	402.25	531.5	181.25	244.25	226.5	178.5	2.75	260.25	166.75	27.1	287.25	52.5	159.5	534.25	293.5	801.25	226.9	58	12.1	1175.3	22.1	176.5	514.5	29	230	85	601.75	12.8	25.75	22	404	38.75	12.75	2.9	14.9	4.6	2.9	122.8	134.2	577	476.75	346.5	8.9	25.3	211.75	19.5	81.75	140.75	66.25	2.7	66.5	71.75	103.6	50.2	58.4	83.3	3500.5	185.1	540	468	101.25	121.25	2590.3	33.9	19.5	33	107.75	707.25	182	297.25	84.25	86	4.1	3.4	440.25	56.7	15.6	16.5	20.6	24.6	16.9	250.5	134.6	534	51	10.25	22	4.4	182.75	82	210.5	420.5	326.25	201.25	247.5	231	135.75	137.25	1336.5	261.75	3992.8	390	98.25	89.25	88.75	725	408.75	86.25	312.5	68.75	83.5	430.25	453.5	58.4	55.8	1037.3	37.6	2.4	14.2	20.3	170.1
872	605.5	855.5	3848	829.25	859.5	1879.8	1742	2306.8	838.75	825.25	573	539.25	2994.8	585.5	371.5	454.75	321.25	1733.5	1849.5	285.25	419.25	317.25	328.75	320.5	450.25	383.5	373	300.25	300.75	191.25	212	340.25	24.8	197.25	393.25	531.5	181.75	244.5	222	186.5	3.11	275.25	178.25	29.8	286.25	52.25	154.5	521.5	288	796	225.8	58.75	11.7	1200.3	22.1	179.5	501.5	28.5	213.5	84.7	606	12	25.5	21.75	400.25	38.75	12.5	2.7	14.3	4.5	2.9	121.2	134.2	576.5	500.25	363.5	8.8	24.4	203.5	19.25	80.5	140.75	65.5	2.5	64.5	69	100.7	49.5	56.9	82.4	3500.5	190.9	526.25	460	98.5	118.75	2578.8	33.7	19.2	32.75	105	698	179.5	291.75	80.25	86	3.9	3.3	433.25	56.1	15.2	16.2	20	24.9	16.8	245.25	132.8	540.5	50.75	9.5	21.5	4.2	182.5	80.5	204	414.75	316.25	200.5	243.75	226.75	128	134.5	1341.8	261.75	3885	381	95.75	90	88	717	397.25	86.25	307.25	68	83.25	421.5	453.5	57.7	55	1039.8	36.8	2.4	13.7	19.7	171.3
863.25	583	836	3834.8	819.75	887.75	1883	1723.8	2323.8	835	814	570	523.5	3091	584	367.5	451	318	1682.8	1849.5	281.75	423.5	314	325	319	445.75	385.25	373.25	305.75	297	182.75	206.5	349	24	193.75	389.25	531.5	186.75	256	235.5	186.75	3.73	294.75	191.5	35.7	271.75	52.25	149.75	527	291	790.75	224.2	56.5	11.3	1162.3	21.6	178.25	509.75	27.75	206.5	84.6	606	11.6	25	21.25	397	36.75	12.5	2.6	13.3	4	2.7	120.6	127	585.5	547.5	387.25	8.7	23.6	201	19	83.25	137.25	63.5	2.4	64.5	69.25	99.7	49.5	55.1	82.6	3500.5	185	536.5	440.75	96.5	104.75	2528.5	32.3	19	31	101	693	189	285	75.75	83.75	3.6	3.1	434	54.1	14.6	15.1	19.9	24.7	16	241.5	129.7	542.25	46	9.25	23.5	4	181	75	193.75	411.25	316.5	200.5	250	223.25	130	133	1320.3	250.5	3811.8	375.75	93.5	89.25	89.25	713.75	395	85.5	300.5	66	81.75	417.5	453.5	56.9	55	1037.3	35.8	2.4	13.8	20.1	170.5
